,id,lat,lon,slno,closest_coords
255,255,37.23009131,-80.42345551,255,['GH030042.MP4-moviepy-20240508_124630/frame_1686345049_37.2300754_-80.4234354.jpg']
256,256,37.22704868,-80.42067259,256,['GH090041.MP4-moviepy-20240508_143554/frame_1686342513_37.2271367_-80.4207778.jpg']
257,257,37.22539448,-80.41951036,257,['GH100041.MP4-moviepy-20240508_144629/frame_1686343068_37.2254468_-80.419533.jpg']
258,258,37.21938898,-80.42394625,258,[None]
259,259,37.21986881,-80.41302058,259,[None]
260,260,37.22166376,-80.4193499,260,['GH080041.MP4-moviepy-20240508_142229/frame_1686341594_37.2216382_-80.4194297.jpg']
261,261,37.22896168,-80.41605014,261,['GH020041.MP4-moviepy-20240508_121516/frame_1686338858_37.2289756_-80.4160597.jpg']
262,262,37.22857969,-80.4159738,262,[None]
263,263,37.22689478,-80.42005174,263,[None]
264,264,37.22695451,-80.42087685,264,['GH090041.MP4-moviepy-20240508_143554/frame_1686342506_37.2270482_-80.4209756.jpg']
265,265,37.22301777,-80.42265362,265,['GH080041.MP4-moviepy-20240508_142229/frame_1686342062_37.2230913_-80.4227144.jpg']
266,266,37.2320681,-80.4197658,266,[None]
267,267,37.2299844,-80.41936569,267,[None]
268,268,37.22751816,-80.41916194,268,['GH020041.MP4-moviepy-20240508_121516/frame_1686338682_37.2274413_-80.4192811.jpg']
269,269,37.23017466,-80.42353462,269,['GH030042.MP4-moviepy-20240508_124630/frame_1686345049_37.2300906_-80.4234193.jpg']
270,270,37.22460877,-80.41884683,270,['GH100041.MP4-moviepy-20240508_144629/frame_1686342936_37.2246138_-80.4188492.jpg']
271,271,37.21926664,-80.42579866,271,['GH060041.MP4-moviepy-20240508_134034/frame_1686340586_37.2192701_-80.4257869.jpg']
272,272,37.22926461,-80.41742327,272,['GH030041.MP4-moviepy-20240508_123536/frame_1686338980_37.229363_-80.4175691.jpg']
273,273,37.22264434,-80.42239721,273,[None]
274,274,37.23028747,-80.42229717,274,['GH040042.MP4-moviepy-20240508_130828/frame_1686345595_37.230308_-80.4223098.jpg']
275,275,37.23184384,-80.42542034,275,[None]
276,276,37.22181204,-80.4195476,276,['GH080041.MP4-moviepy-20240508_142229/frame_1686341600_37.2218221_-80.4195116.jpg']
277,277,37.22639817,-80.41722811,277,[None]
278,278,37.22218907,-80.41991391,278,['GH080041.MP4-moviepy-20240508_142229/frame_1686341613_37.2222523_-80.4197855.jpg']
279,279,37.22970838,-80.41664215,279,[None]
280,280,37.2191083,-80.41926124,280,['GH070041.MP4-moviepy-20240508_140126/frame_1686341406_37.2191079_-80.4192612.jpg']
281,281,37.23100684,-80.41669022,281,['GH030041.MP4-moviepy-20240508_123536/frame_1686339160_37.2309633_-80.4166765.jpg']
282,282,37.22301161,-80.42147131,282,['GH110041.MP4-moviepy-20240508_145708/frame_1686343261_37.2230122_-80.4214725.jpg']
283,283,37.22774222,-80.43809722,283,['GH050042.MP4-moviepy-20240508_133005/frame_1686346319_37.2277371_-80.4380859.jpg']
284,284,37.22995921,-80.42015565,284,['GH020042.MP4-moviepy-20240508_122528/frame_1686344464_37.2300457_-80.4200473.jpg']
285,285,37.22997804,-80.42384984,285,['GH030042.MP4-moviepy-20240508_124630/frame_1686345039_37.2299047_-80.4236724.jpg']
286,286,37.22407081,-80.43899001,286,[None]
